2025-10-28 13:17:02 | scripts.LLMquery.build_index | INFO | 🧩 Logger initialized for LLM → /Users/kousiknandury/PycharmProjects/DL_project/logs/llm_logs/llm_20251028_131702.log
2025-10-28 13:17:10 | scripts.LLMquery.build_index | INFO | 🔄 Rebuilding vector index from extracted documents...
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_101723.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_122946.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_123220.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_102636.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_123217.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_131500.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_122946.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_102940.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_131710.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_123220.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_122949.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_131500.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_122946.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_122949.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_123217.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_131710.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_131500.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_131710.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/1. Introduction_20251028_122949.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/errors-failure (1)_20251028_123220.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | DEBUG | ✅ Loaded: data/clean_texts/user-needs_20251028_123217.txt
2025-10-28 13:17:10 | scripts.LLMquery.build_index | INFO | 🧾 Total documents loaded: 21
2025-10-28 13:17:11 | scripts.LLMquery.build_index | INFO | 📏 Embedding Dimension: 384 | Total Docs: 21
2025-10-28 13:17:11 | scripts.LLMquery.build_index | INFO | ✅ Rebuilt index with 21 documents in 1.32s.
